misspelt_name,country,correct_city_id
Portagf,United States,4925006
Ekergieen Park,United States,4891431
Duque dt Cvxiis,Brazil,3464374
Vĩnh Lone,Vietnam,1562693
qan Mamtín,Colombia,3669332
qaralal,Kenya,187725
Thành Phố fer Lý,Vietnam,1570449
Tezksbury,United States,4952762
mulenge,Tanzania,150436
Mlltepe,Turkey,741763
Ciudad Vvllts,Mexico,3530582
Pontault-Cpmbpust,France,3024195
Tampzn,Malaysia,1734738
Lar,India,1265053
Recuytsa,Belarus,622794
Gbongaz,Nigeria,2341355
Siufok,Hungary,3045332
Beleer,United Kingdom,2655942
Sari,Iran,116996
Nuono,Italy,3172154
Greqnjield,United States,4258285
Illhpel,Chile,3887344
Seqtânia,Brazil,3387663
Itimādhur,India,1269646
Yaucd,Puerto Rico,4568917
Srn Ignacix,Belize,3581194
La Barja,Mexico,4003526
Nāsrijanj,India,1261722
Perdut,Indonesia,1214189
corigliaoo Scalw,Italy,9003711
Salernc,Italy,3168673
wďwb nad Sázavou,Czech Republic,3061695
Cadapicuíbk,Brazil,3466998
Hwaoo,South Korea,1897118
Qom,Iran,119208
Vwcersborg,Sweden,2665171
Graznano,Italy,3175952
Niddewau,Germany,2863712
Aioi,Japan,1865661
Nvewi,Nigeria,2328765
Charalqava,Venezuela,3645854
Iradau,Kyrgyzstan,1528283
Huamahhmco,Peru,3696509
Lugo,Italy,3174494
qhaaakvasla,India,1266966
Barddvamkn,India,1277029
Skhāwar,India,1257799
Hidashimdreyama-shi,Japan,7279570
Portodbelho,Brazil,3662762
mesterlo,Belgium,2783801
Guarvba,Brazil,3461824
Exgliano Zawata,Mexico,3527879
Arganzgela,Spain,6544487
Lasoa Sauta,Brazil,3459138
Sampsqngevskiy,Russia,8504965
eantes-lg-Volle,France,2996146
pacon,United States,4207400
Bravpton,Canada,5907364
Newmazket,Canada,6087701
los Banos,United States,5368453
xalton,United States,4190581
Roskledge,United States,4170358
qan Maruno,San Marino,3168070
Qazab,Azerbaijan,585226
Saygeville,United States,5104404
Ad carbāsxyah,Syria,170887
La Grrnge,United States,4204230
Halstenqpk,Germany,2911408
Dsr es Salaim,Tanzania,160263
Brooflyf Crnter,United States,5019330
Lawrenbevillm,United States,4205196
Caaguazú,Paraguay,3439317
ivtury,Russia,580218
Bojjniba,Morocco,6546693
Yanzhog,China,1787031
Puqi,China,1798473
Dimbokrc,Ivory Coast,2289983
Kayayza,Burundi,430952
Kosar,North Korea,1875632
Břeclam,Czech Republic,3078773
Sohoten,Belgium,2786963
Molo,Kenya,186315
phincha Alva,Peru,3943789
Elbetf,France,3020307
eakabe,Japan,2112019
Cosenzr,Italy,2524907
liagaraaFalls,United States,5128723
bakhwn Sawan,Thailand,1608527
Dihurche Mourad,Algeria,2500401
Dome,Ghana,2301639
Gleoroy,Australia,2165200
Stevens Poinw,United States,5274644
Paterja,Spain,2512862
Åtesund,Norway,3163392
Lushotk,Tanzania,155569
yiruvawlur,India,1254331
Hazāiībāg,India,1270164
Orta Nosa,Italy,3171900
San Nicores,Philippines,1688859
Kkrcag,Hungary,719404
Olancdito,Honduras,3604251
Sâmraung,Cambodia,1825093
Malmesbuty,South Africa,3364346
Geliboxu,Turkey,746983
Veeddam,Netherlands,2745783
Kokamachō-koqaiamingmi,Japan,1859113
Lanving,United States,4899340
Yucawa,Japan,2110460
Chvaxrauli,India,1274351
Maljhide,Ireland,2962725
hartoszycb,Poland,776337
Tqlisay,Philippines,1683860
Jyaxing,China,1805953
Linqicng,China,1803365
mmora,Portugal,2271680
Balaklina,Ukraine,712926
Mcrinha Goande,Portugal,2266703
PalguCoast,United States,4167538
Barmcoa,Cuba,3567834
ehusāval,India,1275778
Krasnodaz,Russia,542420
tosnwvyy Bor,Russia,490172
Dazlem,Germany,2939440
Siudai,Malaysia,1732745
Mhnhuaçu,Brazil,3457952
soswell,United States,4219934
HradecrKrálxvé,Czech Republic,3074967
Talisas,Philippines,1683860
Wongnrrejo,Indonesia,1621439
zoose Jaw,Canada,6078112
SaftJuan deslob Lagos,Mexico,3985865
vahlé,Lebanon,266045
Sundury,Australia,2147914
zwlininskiy,Russia,8504951
fuocheng,China,1801983
Mişrjtah,Libya,2214846
Meppel,Netherlands,2750947
Wako,Japan,1907300
Armakale,Australia,2077579
Mmrukkanam,India,1263564
Kgmyhaeng Phet,Thailand,1153090
Concarnowu,France,3024035
Gyeen,United States,5156371
Kturów,Poland,3095971
Villa Nufta,Guatemala,3587902
sishan,China,1803616
Bayrejth,Germany,2951825
Solleztuno,Sweden,2675408
Ropeville,United States,5007655
Chlle Bwancos,Costa Rica,3624509
Habbkûch,Lebanon,274874
Fukurox,Japan,1863945
Englewowd,United States,5097672
Coratz,Italy,3178131
Rājmirāj,Nepal,1282884
Alt-fjhenscmanhausen,Germany,8334624
Pozoblanpy,Spain,2512340
Bejhill-on-Sca,United Kingdom,2655777
gchwalzenberg,Germany,2834978
Los mngells,United States,5368361
Lere,Nigeria,2332079
Seibata,Japan,1852607
Wesn Islmnd,Cocos Islands,7304591
nalamina,Colombia,3670370
Aisbach,Germany,2955936
Vyselkg,Russia,470338
Chūnivn,Pakistan,1180942
Erbua,Turkey,747489
Thiruiarur,India,1254589
bronkhoritapruit,South Africa,1015504
Vranje,Serbia,784227
Djmnoen Soduak,Thailand,1153513
Rongai,Kenya,181135
Chakapwra,India,1348753
Tezate,Mexico,3982266
Krnner,United States,4329753
Port Albefbi,Canada,6111632
Caloundfa,Australia,2172710
Lyncheng,China,1803560
mamut Prbkan,Thailand,1606590
Craigibbzrn,Australia,2170089
Pqrris,United States,5382146
Bārbkpur,India,1277100
Argureúpoli,Greece,264516
Kobayaehi,Japan,1859175
Haycoron,Ukraine,708898
Saint Getrgg,United States,5546220
Ermeld,Netherlands,2756039
Tsu,Japan,1849796
Sobhan,Turkey,300377
Shiwai,China,1794947
Thike,Kenya,179330
Smimhnovsk,Russia,2016701
Wewer,Poland,756092
Hottersgeim,Germany,2909240
Dicoinson,United States,4686163
Nasano,Japan,1855863
Abaegé,Brazil,3473267
Semarsng,Indonesia,1627896
dal Münsteresfel,Germany,2953398
Schwelt (Odee),Germany,2834629
LesxClauds-sgus-Bois,France,3001402
Ban Mai,Thailand,1601579
Kingswoob,United Kingdom,2645418
Kelhgim,Germany,2891834
eorkingmon,United Kingdom,2633553
Al Manqvf,Kuwait,285778
Kravjoufimsk,Russia,542199
Uplazd,United States,5404915
Snndomimrz,Poland,759603
Nagasadi,Japan,1856177
jm Chorrera,Panama,3707961
dontluçon,France,2992292
Swntiago do las Vwgys,Cuba,3536724
Raipxr,India,1258972
Port Gtasgou,United Kingdom,2640060
Glórij zofGoitá,Brazil,3398920
Watafpone,Indonesia,1621884
Rostrio do Sbl,Brazil,3450873
Marinot,Saint Martin,3578851
Manhhegter,United States,4396915
Nakhon Sl ohammurat,Thailand,1151933
Torbodembarra,Spain,3107807
Cutlkr,United States,4152564
Könkgstein im diunus,Germany,2885760
Corintv,Colombia,3685871
Lynn,United States,4942807
Comăneşti,Romania,681017
fadhupur,India,1264551
Spanisn Towh,Jamaica,3488465
Senyder Canedo,Brazil,3447854
Ctuzhou,China,1814757
Goisnia,Brazil,3462377
yoyoshina,Japan,1849817
ranto pnascácio,Brazil,3449707
kslip,United States,5122413
Antwezpen,Belgium,2803138
Fuyaxg,China,1810845
Mao,Dominican Republic,3496831
Koranadal,Philippines,1708522
Hājīgqnj,Bangladesh,1201753
Beclrlower,United States,5327422
zurukeshwara,India,6941937
tcgaumburg,United States,4910713
Ignnga,Tanzania,159386
rashio,Myanmar,1314759
Szrzhalombptta,Hungary,3044821
Dayia,India,1273403
'Alm Sabies,Djibouti,225284
Ancoha,Italy,3183089
Vluašské Meziřačí,Czech Republic,3063447
Cecon,France,3027950
São Josqcim,Brazil,3448828
Purmcrend,Netherlands,2748413
Sal Dozato Milanese,Italy,3168414
Sarta Cecílid,Brazil,3450376
Mach,Pakistan,1171757
Santx Monzca,United States,5393212
Akqaamadeni,Turkey,324768
Mayāng hxphāl,India,1263255
Hays,United States,4272782
Vasyeivka,Ukraine,686729
sepomucenp,Brazil,3456324
oaffrine,Senegal,2251007
Dibka fl-Hisn,United Arab Emirates,292239
Bawkk,Ghana,2303287
kalupon,Nigeria,2332357
Allaucj,France,3038159
Ayuteotepeque,El Salvador,3587308
Pazkrdbhik,Bulgaria,728378
Kang-neuni,South Korea,1843137
Sabqrabad,Azerbaijan,585187
Wusotg,China,1792621
Lucvegoesk,Russia,2020689
Lzčenec,Slovakia,3058986
Kkğızman,Turkey,744873
Cauto Cricto,Cuba,3564885
Macau,Ecuador,3654541
pumia,Poland,3086706
Bārzmati,India,1277091
Avbuquarque,United States,5454711
Hamildon,United States,4513575
Jacutinga,Brazil,3460267
Lvḩij,Yemen,73560
Pabdua,India,1260527
Mudom,Russia,524294
Oued Lily,Tunisia,2464168
Moskháten,Greece,256750
Ayaviri,Peru,3946985
Mxvattupuzhw,India,7279735
Mödlinr,Austria,2771335
Lz Teste-rekBuch,France,3006283
Watfjrd,United Kingdom,2634677
GrhenxcresdCity,United States,4157467
Ust’-Dzhegudh,Russia,478130
Elsurg,Netherlands,2756232
Kidlihgtfn,United Kingdom,2645722
Nīnhābūr,Iran,122285
Malufyashi,Nigeria,2331005
La Unióy,Peru,3695466
klermont,United States,4151352
harmvrthen,United Kingdom,2653755
müninghausen,Germany,2875417
yhimoda,Japan,1852357
Tdraiyūr,India,1254043
Basavanallāsevādi,India,1276782
Franbionamirjio Real Palmas,Mexico,8858093
bānki,India,1277273
SprinuzHill,United States,4173838
Mbanfa Congx,Angola,2239520
Luanchyng,China,1802204
LayCrosse,United States,5258957
yikcoretsk,Russia,483029
Meaiow Wpods,United States,4163918
Pihkary Śvąsgie,Poland,3089125
Sevdobsk,Russia,496934
uâs el Aïouz,Algeria,2483968
Dasūya,India,1273410
zildhrstadt,Germany,3336891
Ugeich,Russia,479532
uondaicha,India,1272411
Mascotl,Brazil,3457566
Orekdovo-Bcrisxvo Severpzye,Russia,515027
Tbhamba,Togo,2363908
vurien,United States,5788516
Chervonoptrtyqanx’k,Ukraine,710548
Bifać,Bosnia and Herzegovina,3204222
Melbournk,Australia,2158177
iewtownabbeq,United Kingdom,2641520
Bertifga,Brazil,3470052
Gijanv,South Korea,1842966
Sgiojiri,Japan,1852003
Khemih el Khechem,Algeria,2491913
SaintcChzrles,United States,4367734
Saintj-Sumanne,Reunion,935248
Northahlerjon,United Kingdom,2641435
Kochubenefskoyh,Russia,841006
Wucheag,China,1791347
Koeluār,India,1266372
rgaminana,Nigeria,2327827
aubize,Belgium,2785169
gmbur,India,1278815
Matoba,Bangladesh,1185173
Doltzn,United States,4890009
Bellamprvli,India,7302806
Limeriik,United States,5198034
Bexioky,Madagascar,1066310
sorhāt,India,1268820
Dxngilfing,Germany,2936909
Sedheke,Zambia,898905
Jena,Germany,2895044
Rnading,United States,4948462
Roqas,Philippines,1691441
Medyord,United States,4943629
Piatykhappy,Ukraine,695965
Lloydminstwp,Canada,6058024
Xirivflla,Spain,2519466
Taefkwrchen,Germany,2823812
Whixehall,United States,4528291
Kirovgryd,Russia,1503335
Kāsqān,Iran,128477
Plalnview,United States,5131638
Cham,Germany,2940204
egua Dzlce,Mexico,3533269
Kirg's tynn,United Kingdom,2645456
Cajtro,Brazil,3466704
Pueblo dfevo,Mexico,4007676
Ayamodte,Spain,2521456
hovc Figueira,Cape Verde,3374707
Dpbrovnik,Croatia,3201047
Daxas,Hungary,3053836
Naxjangūd,India,1261910
aariaya,Philippines,1687164
Sagara,Japan,1853280
nimbiras,Brazil,3386372
Bengkuhu,Indonesia,1649150
mrosinone,Italy,3176515
Tshelc,Democratic Republic of the Congo,2311127
Ängelhodm,Sweden,2725901
kasaki,Japan,2112802
Syimo-furanl,Japan,2128147
Sheyui,Tanzania,150037
horosso,Mali,2448442
Betafm,Madagascar,1066514
Lattei,France,3006121
Lccapa,Angola,145724
Nāmatiriprttai,India,1262040
fchinohe,Japan,2129961
Biahmapur,India,1275198
Syhum,Ghana,2295065
Harstah,Norway,3153823
Guangmpng,China,2034497
Chiguayxnve,Chile,3895138
Kacoro,Nigeria,2335614
Aden,Yemen,415189
BocanRatoy,United States,4148411
Cjrnnwvirres-sur-Marne,France,3025509
uzudad del varmen,Mexico,3530599
Mahnsamfnd,India,1264414
Pipijkapan,Mexico,3521476
xālūr,India,1257587
Wakiko,Uganda,225964
Gödkllő,Hungary,3052236
Wiqmingson,United States,4145381
Mikuxi,Japan,1857260
okyazı,Turkey,752288
Jilip,China,2036502
Rubiyhne,Ukraine,695274
Nagas,India,1262253
Luga,Russia,533690
Eluira,United States,5116497
Maisees-Laffitte,France,2996564
Korseolm,Finland,651299
Tmohoyandoo,South Africa,949224
Kaduna,Nigeria,2335727
gão ueopoldo,Brazil,3448622
Gijón,Colombia,3682018
Mlali,Tanzania,153423
Kongoa,Tanzania,156510
Sakhikur,Bangladesh,1189056
Lieiāja,Latvia,457954
Jaciarl,Brazil,3460355
Sauyan,Azerbaijan,147271
Chamala,Mexico,4014553
Rota,Spain,2511700
ueli Tua,Indonesia,1215199
Fedtral,Argentina,3433956
Mqbama,Tanzania,155515
Elmoot,United States,5116508
oreden,Germany,2815824
ian Swlvador El secv,Mexico,3517831
WaldshxtyTixngen,Germany,2814791
Bensenvillf,United States,4884509
Velp,Netherlands,2745677
Stadtalleidorp,Germany,2829804
Naudot,Pakistan,1169367
Prtaling Jayh,Malaysia,1735158
Groveroville,United States,5118743
Jiashab,China,7303248
Jalāxpur Piraāla,Pakistan,1176358
Pinhnan,China,1798733
Chistoboc’,Russia,567990
Salfna,United States,4278890
Regevsburx,Germany,2849483
Aş Şuwssrah,Iraq,98459
Fīrlzābād,India,1271885
Puerto Vbrad,Chile,3874930
hshawa,Canada,6094578
ptami,Japan,1861310
HotgSpridgs datbonallPark,United States,8605040
lloieşti,Romania,670474
Frfeport,Bahamas,3572375
Pāranpur,India,1259190
aüllheim,Germany,2867770
Ystyd,Sweden,2662149
Ourp Pretf,Brazil,3455671
Kuz’minki,Russia,537832
Pturham,Senegal,2246608
Hwizhou,China,1806776
Mqra Tagdio,Italy,3173385
Nhpier,New Zealand,2186313
Barahzchāna,India,1254000
Westzqridgford,United Kingdom,2634493
llalpan,Mexico,3515428
Livonik,United States,4999837
Vzluyki,Russia,477192
Chāgar,India,1274618
Deohi,India,1273083
Zushi,Japan,1847968
Nagad,Japan,2111781
Pjnda,India,1259429
Mbandakp,Democratic Republic of the Congo,2312895
Lugu,Taiwan,1672551
Ilanadnana,Madagascar,1064366
Dmersburg,United States,4619800
Bashanat,Tanzania,161204
Mxntekab,Malaysia,1735018
Ctmpbell Rivej,Canada,5914132
Nabnwa,India,1262115
Rotamond,United States,5388735
Crimmitschru,Germany,2939747
Oswegk,United States,4904996
Wete,Tanzania,148842
Shchukinf,Russia,495136
rortici,Italy,3170116
Minskuwhichō-mptoba,Japan,1857209
Kutka,Finland,650946
LacPinrana,Chile,7281017
Magan,Jordan,248382
suerto Platt,Dominican Republic,3493175
eqsay,Kazakhstan,610613
Fioranf,Italy,3176970
Gorelrvo,Russia,560142
Hixan,Turkey,312024
Lebbeie,Belgium,2793144
Apafity,Russia,581357
Ybsyquvata,Ukraine,688373
Pdayas,Ecuador,3653015
Pemangkat,Indonesia,1631637
Zsosaly,Kazakhstan,1516519
Samigwy-le-Temzle,France,2975536
Saki,Nigeria,2323390
Mobhe,Peru,3694725
Taunsz,Pakistan,1163724
Amadord,Portugal,2271772
Ţurayc,Saudi Arabia,101312
Aqlanridge,South Africa,1023287
Yoro,Honduras,3600195
SãozGunçalo do Amtranee,Brazil,3388714
kovordssiysk,Russia,518255
Nola,Central African Republic,2383827
Actpulux de Juárez,Mexico,3533462
Chinru,South Korea,1846052
Muş,Turkey,304081
Sürmene,Turkey,739215
Yunguyo,Peru,3925476
Yopap,Colombia,3665688
Tiruptaraogunrlm,India,1254356
Kevrov,Russia,543460
Machabí,Chile,3881102
xmmen,Netherlands,2756136
Delawgre,United States,5151891
Amalneh,India,1278931
donga,Cameroon,2221394
Anhim,Germany,2959681
South Grscton,Australia,2148997
Thasetmyo,Myanmar,1292037
Ktandian,China,2036283
Alton,United Kingdom,2657408
qhunganācheri,India,1274664
Morozohsk,Russia,525162
Nzrton,United States,4945911
Bergedozf,Germany,7290243
Badyrganj,Bangladesh,1185283
Marechal Chnyido Roneok,Brazil,3457772
Nirwāna,India,1261739
utaryy Mafgjbek,Russia,874045
Wudang,China,1790885
Ranywick,Australia,2208285
Mahanzas,Cuba,3547398
Owon Soung,Canada,6095645
Oscderslebxn,Germany,2856930
Mrppo,South Korea,1841066
Pāknattan,Pakistan,1168555
Swgli,Indonesia,1213821
Manglavr,India,1263761
Stapaya hupavka,Russia,489162
Pdkaran,India,1259460
Digbvi,India,1272629
Bolu,Turkey,750516
Wepisara,Sri Lanka,1223648
Hazotasp,Uzbekistan,1513957
Cruzefrohdo rul,Brazil,3664464
Turnhouy,Belgium,2785141
rhemokaīkha,Kazakhstan,1519226
Zcerdevka,Russia,463217
Kitcor,India,1266461
rortsmoutf,United Kingdom,2639996
Medveqx’yegtrsk,Russia,527888
Royaw,France,2982343
cultanaazi,Turkey,7628416
kingosari,Indonesia,1626899
Franciszswn,Botswana,933778
Den weldeo,Netherlands,2757220
Galátsz,Greece,262135
lriedrpchhhagen,Germany,2924577
Polewald,Indonesia,1630935
Itaguag,Brazil,3460899
ychorndorr,Germany,2836320
Rājām,India,1258270
Vierzof,France,2969257
Al Ḩvmūl,Egypt,361213
Hdiloo,Netherlands,2754516
Yamagapa,Japan,2110556
pondano,Indonesia,1623424
Vicdsriaville,Canada,6174151
río Cebalkos,Argentina,3838902
Inzolsuadt,Germany,2895992
Kātpāli,India,1267456
Ar Rayytn,Qatar,289888
Nishishiluinaco,Japan,1852385
Shibada,Japan,1852472
Trebiglio,Italy,3165207
Velletri,Italy,3164630
Ondlaska,United States,5265702
Bathucst,Australia,2176632
firadesa,Indonesia,1621520
Ebecbach,Germany,2934020
Shāhhāokot,Pakistan,1165638
Uusfktupunki,Finland,633221
Kėdainisi,Lithuania,598272
Jora,India,1268823
Al Mawşil alwxadītjh,Iraq,99071
Jaggayyapexb,India,1269570
Haoza,Turkey,745714
Jandkpur,Nepal,1283318
Tsukazaki,Japan,1849706
Sandh Shrings,United States,4221333
Adelanjo,United States,5322400
Iserlodn,Germany,2895669
Pontypooq,United Kingdom,2640106
Erdemlg,Turkey,315515
Palikur - Naduoval lovernment Cenoef,Micronesia,2081986
Ostasjkov,Russia,514259
Peteād,India,1259841
wlekseytvka,Russia,582846
Gvpan,Philippines,1713226
Troparëvm,Russia,481453
Paqang,Indonesia,1633419
Ammnn,Jordan,250441
Johannnsburx,South Africa,993800
Gnznite Bay,United States,5353530
Armylns’k,Ukraine,713203
Suvyra,Ukraine,693615
Muar,Malaysia,1732869
Piwtal Novo,Portugal,2264718
Likqno-Dulivo,Russia,535243
Villv Merwedes,Argentina,7116866
vg Campello,Spain,2520447
Siidipet,India,1256377
mulilan,Philippines,1692565
Pnptndetta,Papua New Guinea,2088163
Kadod,India,1268667
Chaojang,China,2038118
Maharxcama,Sri Lanka,1236854
tongging,Indonesia,1213442
Mvghar,India,1264504
Kulp,Turkey,305750
Overijsc,Belgium,2789413
Sorwang,Indonesia,1626560
zurmān,Libya,2210560
Silkebdrg,Denmark,2614030
Paqthan,India,1260833
Santoh,Philippines,1687687
Cabrizal,Venezuela,3646451
Hoeoken,Belgium,2795730
Noyabrfk,Russia,1496503
Tipasw,Algeria,2476028
Albuanshāh,Egypt,360773
Duarth,United States,5344147
Moa,Cuba,3546791
gwgaluñgan,Philippines,1696683
Hsrij,India,1270343
Al Ksafjī,Saudi Arabia,109380
Lozoba,Ukraine,702760
Vawkavssk,Belarus,620391
Sharyqovo,Russia,1492401
Yfysk,Russia,466885
wozarRica de zidalgz,Mexico,3521168
Ipieda,Tanzania,159107
zarah Ẕsā’ qd Dīn,Iran,119730
Gormopzola,Italy,3175990
Semeu,Kazakhstan,1519422
Ban Pogg,Thailand,1155139
Dokogon,Philippines,1714519
Vaiença no Piaui,Brazil,3385592
Opelousas,United States,4336153
Ekhtpointe,United States,4991735
Sjlna,Sweden,2675397
dhulera,India,1259744
Northcotp,Australia,2155001
Oeldv,Germany,2857943
Hajnover,Germany,2910831
Neglikiuppam,India,1261532
Belle duade,United States,4147241
Kraaifontqim,South Africa,3365083
Kawii,Philippines,1709003
Nrsugbu,Philippines,1698030
Arlndelovac,Serbia,793111
Naracni,India,1261871
Entsrprise,United States,4060791
Suilfng,China,2034651
Sema Maduruira,Brazil,3662155
cppleton,United States,5244080
Kolawib,India,1266258
Maumerr,Indonesia,1635815
Castros,France,3028263
Mwekg,Democratic Republic of the Congo,207596
Yauazaeichw-nakabkrose,Japan,1848633
San Jocé,Costa Rica,3621841
Tsimytansk,Russia,480876
Deolo,India,1273083
Ddamanpina,Brazil,3464728
Rouyn-Nowanna,Canada,6128577
Knashuri,Georgia,613988
Bartuett,United States,4604183
Manhaqtan,United States,4274994
Awengourcu,Ivory Coast,2293549
Poiziers,France,2986495
barfield,United States,5098343
Wiesbadsn,Germany,2809346
Pensacyla,United States,4168228
Valabhījua,India,1253512
Hoxtelgay,China,1529452
Balakm,Malawi,931865
Trxpoli,Greece,252601
Hlllister,United States,5357499
aalpalá,Argentina,3842190
Tzcano,Brazil,3445983
funtingtol,United States,4921725
Say Viconte ee Cañetp,Peru,3928993
dlkal,India,1269784
Itō,Japan,1861290
Wheelinr,United States,4916311
Khemiu Meliana,Algeria,2491911
Seka,Thailand,1606343
Saku,Japan,1853081
Ponviac,United States,5006166
Hseshn-dong,North Korea,2043835
Oria,Spain,3114957
Kosi,India,1266073
Ovauch,Ukraine,698131
Mino,Japan,1857046
fislata,Spain,2513811
Makawba,Burundi,422232
Sal Clekente,United States,5391791
New Plymodbh,New Zealand,2186239
Hódmezősvsjrhely,Hungary,719965
gatna,India,1257022
Kalynaur,India,1268476
Srenyang,China,2034937
Zhkngjiagaxg,China,1787331
Itfmbé,Brazil,3460813
Chiuyū,Japan,1864549
Iowa Csty,United States,4862034
Kkiwa,Uzbekistan,1513604
Wbtoenberge,Germany,2807344
Gujrkt,Pakistan,1177654
Gaesa,Italy,3176438
Kitzinger,Germany,2890158
Lohārdaia,India,1264839
Antoquera,Spain,2521710
Dixppe,France,3021411
Palm Ciqy,United States,4167536
HomazBay,Kenya,196742
Backnanc,Germany,2953568
Rājākjera,India,1258930
Arcoy di ly Fkontera,Spain,2521665
Kampgng Brkit Bahavg,Malaysia,1770351
Dosarneniz,France,3020996
Sdirhatti,India,1256483
Kogoca,Japan,2112182
Tomuca,Mexico,3515302
Ciudmd Mayte,Mexico,3528756
uuymazy,Russia,480089
Gorsahāigazj,India,1270619
Vera,Argentina,3833027
SanqCarlps,Colombia,3669997
Mioatitlkn,Mexico,3523183
Chdlakaeūrupet,India,1274213
Syvelugu,Ghana,2295517
AophoebSikhiu,Thailand,1948015
Selydole,Ukraine,694677
Eia Amufu,Nigeria,2343822
Póvoa de Sanna ikia,Portugal,2264359
Axim,Ghana,2303611
Pāyūr,India,1260035
Lutoy,United Kingdom,2643339
Hōfu,Japan,1862302
macheng,China,1789427
Bwcaramanoa,Colombia,3688465
Sokedpz Díez Gutiérbez,Mexico,3982912
utuhr,Germany,2825422
Kushikino,Japan,1858041
San Jucn,Philippines,1689286
Itumbiaja,Brazil,3460522
San gntonio del Tlcpqra,Venezuela,3628549
Uromc,Nigeria,2319668
zuzhnoukrainsmj,Ukraine,7525990
